h,K,repeat,method,err,score
200,1,1,naive-Lasso,78.31319755040494,0.98
200,1,2,naive-Lasso,75.57249061521452,0.985
200,1,3,naive-Lasso,73.02037404406434,0.985
200,1,4,naive-Lasso,77.08448558597718,0.99
200,1,5,naive-Lasso,72.87964957254826,0.965
200,1,6,naive-Lasso,65.77011581367847,0.985
200,1,7,naive-Lasso,62.87132668223441,0.975
200,1,8,naive-Lasso,61.31446055355187,0.98
200,1,9,naive-Lasso,86.54645311470978,0.955
200,1,10,naive-Lasso,93.38829338648753,0.97
200,1,11,naive-Lasso,60.670638953033574,0.975
200,1,12,naive-Lasso,80.94844245517217,0.98
200,1,13,naive-Lasso,62.517950374770834,0.98
200,1,14,naive-Lasso,64.26034075344018,0.985
200,1,15,naive-Lasso,67.17144069295423,0.975
200,1,16,naive-Lasso,62.16484247622313,0.975
200,1,17,naive-Lasso,55.92879279478255,0.995
200,1,18,naive-Lasso,64.63104157010372,0.97
200,1,19,naive-Lasso,57.37503532511215,0.98
200,1,20,naive-Lasso,55.198237757642616,0.975
200,1,21,naive-Lasso,80.50922868132403,0.99
200,1,22,naive-Lasso,66.77775362471093,0.96
200,1,23,naive-Lasso,69.36073848055898,0.98
200,1,24,naive-Lasso,74.98159089351782,0.97
200,1,25,naive-Lasso,77.49192113967462,0.96
200,1,26,naive-Lasso,68.1329105362878,0.985
200,1,27,naive-Lasso,69.23713869608858,0.99
200,1,28,naive-Lasso,71.93542013710427,0.97
200,1,29,naive-Lasso,63.582993666990546,0.985
200,1,30,naive-Lasso,72.72671940653916,0.98
200,1,31,naive-Lasso,70.17715357572035,0.98
200,1,32,naive-Lasso,71.9396458286445,0.99
200,1,33,naive-Lasso,71.92415238376083,0.985
200,1,34,naive-Lasso,64.77522071647368,0.985
200,1,35,naive-Lasso,80.98883282611308,0.965
200,1,36,naive-Lasso,78.28742477420724,0.975
200,1,37,naive-Lasso,53.32907188624492,0.975
200,1,38,naive-Lasso,77.64759410507182,0.975
200,1,39,naive-Lasso,63.18975915237249,0.98
200,1,40,naive-Lasso,73.78146383399968,0.955
200,1,41,naive-Lasso,71.28305474047545,0.96
200,1,42,naive-Lasso,55.03481793930065,0.98
200,1,43,naive-Lasso,82.48529399909219,0.98
200,1,44,naive-Lasso,64.49005492030398,0.975
200,1,45,naive-Lasso,70.04936165566659,0.955
200,1,46,naive-Lasso,57.93588901041764,0.98
200,1,47,naive-Lasso,73.56341937121786,0.975
200,1,48,naive-Lasso,67.66691706904797,0.98
200,1,49,naive-Lasso,65.66807214609105,0.975
200,1,50,naive-Lasso,75.76861413832262,0.985
200,1,51,naive-Lasso,68.39716285467506,0.98
200,1,52,naive-Lasso,79.28464051188766,0.98
200,1,53,naive-Lasso,79.29628391145488,0.945
200,1,54,naive-Lasso,63.440744466791074,0.995
