h,K,repeat,method,err,score
200,1,1,naive-Lasso,58.35502758484506,0.975
200,1,2,naive-Lasso,61.89515483591603,0.965
200,1,3,naive-Lasso,81.20988988691511,0.98
200,1,4,naive-Lasso,81.09437730371843,0.98
200,1,5,naive-Lasso,56.11502703146972,0.97
200,1,6,naive-Lasso,75.27707946263249,0.985
200,1,7,naive-Lasso,77.9404635430175,0.97
200,1,8,naive-Lasso,74.0670291111029,0.975
200,1,9,naive-Lasso,71.13529516254317,0.98
200,1,10,naive-Lasso,65.78879752266178,0.99
200,1,11,naive-Lasso,54.20939103351648,0.97
200,1,12,naive-Lasso,57.92230882495741,0.975
200,1,13,naive-Lasso,74.10062110939606,0.985
200,1,14,naive-Lasso,61.584601184317336,0.975
200,1,15,naive-Lasso,89.41441643031942,0.96
200,1,16,naive-Lasso,45.78575432522425,0.985
200,1,17,naive-Lasso,64.45396680916014,0.98
200,1,18,naive-Lasso,68.73391505641237,1.0
200,1,19,naive-Lasso,73.37373112104618,0.965
200,1,20,naive-Lasso,79.25179797645009,0.98
200,1,21,naive-Lasso,62.899352196638944,0.97
200,1,22,naive-Lasso,62.66665879402851,0.97
200,1,23,naive-Lasso,67.30332405631282,0.97
200,1,24,naive-Lasso,72.72382447297986,0.96
200,1,25,naive-Lasso,77.98891883870996,0.965
200,1,26,naive-Lasso,79.25751347463776,0.94
200,1,27,naive-Lasso,87.45348414008467,0.985
200,1,28,naive-Lasso,84.52566138195652,0.95
200,1,29,naive-Lasso,75.04026220528527,0.985
200,1,30,naive-Lasso,64.95640435724962,0.98
200,1,31,naive-Lasso,78.83491286049647,0.97
200,1,32,naive-Lasso,70.89540290193915,0.97
200,1,33,naive-Lasso,72.51200739646143,0.98
200,1,34,naive-Lasso,71.09802255228206,0.965
200,1,35,naive-Lasso,71.82525375674652,0.955
200,1,36,naive-Lasso,80.7924118434932,0.985
200,1,37,naive-Lasso,66.60987936892525,0.975
200,1,38,naive-Lasso,53.761186451280466,0.985
200,1,39,naive-Lasso,66.62270740519756,0.995
200,1,40,naive-Lasso,55.044964454830364,0.985
200,1,41,naive-Lasso,77.26266664165635,0.97
200,1,42,naive-Lasso,85.79703438562495,0.995
200,1,43,naive-Lasso,66.76120988042231,0.98
200,1,44,naive-Lasso,86.56990837967103,0.98
200,1,45,naive-Lasso,68.72872813383364,0.98
200,1,46,naive-Lasso,66.07684349749121,0.97
200,1,47,naive-Lasso,78.83667426578538,0.98
200,1,48,naive-Lasso,73.38850594088109,0.98
200,1,49,naive-Lasso,81.94905180135046,0.99
200,1,50,naive-Lasso,72.56853802406843,0.955
200,1,51,naive-Lasso,73.45443988255204,0.98
200,1,52,naive-Lasso,73.38681988091778,0.985
200,1,53,naive-Lasso,65.15827305568348,0.985
200,1,54,naive-Lasso,71.6007372326655,0.97
200,1,55,naive-Lasso,65.06035032706066,0.985
200,1,56,naive-Lasso,78.5163471026799,0.98
200,1,57,naive-Lasso,73.45203854234299,0.98
200,1,58,naive-Lasso,84.70294976884216,0.95
200,1,59,naive-Lasso,60.86663162084352,0.98
200,1,60,naive-Lasso,60.927096264262616,0.975
200,1,61,naive-Lasso,68.3390230126555,0.975
200,1,62,naive-Lasso,89.05214221017326,0.98
200,1,63,naive-Lasso,73.28150064670791,0.97
200,1,64,naive-Lasso,58.722737370052016,0.975
200,1,65,naive-Lasso,57.9388884820431,0.96
200,1,66,naive-Lasso,68.75266766102007,0.965
200,1,67,naive-Lasso,62.31379554547914,0.955
200,1,68,naive-Lasso,78.91677358914222,0.985
200,1,69,naive-Lasso,75.00512374677427,0.97
200,1,70,naive-Lasso,62.36635996995287,0.985
200,1,71,naive-Lasso,69.27638582233288,0.975
200,1,72,naive-Lasso,73.12843701277941,0.97
200,1,73,naive-Lasso,66.70095978890905,0.97
200,1,74,naive-Lasso,54.184077565803435,0.97
200,1,75,naive-Lasso,82.01950835492562,0.97
200,1,76,naive-Lasso,66.05212927259925,0.98
200,1,77,naive-Lasso,73.03865149618997,0.955
200,1,78,naive-Lasso,71.12544427221226,0.985
200,1,79,naive-Lasso,82.59915679569247,0.98
200,1,80,naive-Lasso,61.55362648508762,0.99
200,1,81,naive-Lasso,73.06330679892017,0.98
200,1,82,naive-Lasso,67.89597380701449,0.97
200,1,83,naive-Lasso,69.3608444488242,0.965
200,1,84,naive-Lasso,75.48561196079902,0.975
200,1,85,naive-Lasso,61.036047074152094,0.965
200,1,86,naive-Lasso,63.72925640997164,0.97
200,1,87,naive-Lasso,74.15911166740739,0.97
200,1,88,naive-Lasso,68.7485275180095,0.985
200,1,89,naive-Lasso,74.67770399772846,0.98
200,1,90,naive-Lasso,67.39694093075744,0.96
200,1,91,naive-Lasso,74.1662141456423,0.97
200,1,92,naive-Lasso,65.87941814773538,0.97
200,1,93,naive-Lasso,68.97249706317479,0.965
200,1,94,naive-Lasso,64.90224048106268,0.985
200,1,95,naive-Lasso,87.41081515643799,0.96
200,1,96,naive-Lasso,65.27698115817952,0.965
200,1,97,naive-Lasso,64.98312732422676,0.955
200,1,98,naive-Lasso,73.36721227238965,0.965
200,1,99,naive-Lasso,65.27286709222781,0.975
200,1,100,naive-Lasso,61.15751011077302,0.98
200,1,1,naive-Nuclear,56.09079344541823,1.0
200,1,2,naive-Nuclear,64.83813695007176,1.0
200,1,3,naive-Nuclear,63.85443528667206,1.0
