h,K,repeat,method,err,score
200,0,1,naive-Nuclear,75.80057741705114,0.0013642859922717
200,0,1,A-Nuclear-Nuclear,72.11379686607802,0.9575733982416584
200,0,1,Nuclear-Nuclear,73.11379686607802,0.9575733982416584
200,0,1,Pooled-Nuclear-Nuclear,96.90746301332864,0.9575733982416584
200,0,2,naive-Nuclear,38.624506895513406,0.0008738730792324
200,0,2,A-Nuclear-Nuclear,46.81696652976059,0.725726361735559
200,0,2,Nuclear-Nuclear,47.81696652976059,0.725726361735559
200,0,2,Pooled-Nuclear-Nuclear,56.432534475220734,0.725726361735559
200,0,3,naive-Nuclear,67.70353783909509,0.0012006053846186
200,0,3,A-Nuclear-Nuclear,66.87482380222795,1.011570939125808
200,0,3,Nuclear-Nuclear,67.87482380222795,1.011570939125808
200,0,3,Pooled-Nuclear-Nuclear,88.52510611116855,1.011570939125808
200,0,4,naive-Nuclear,81.86040035234416,0.000983079026945
200,0,4,A-Nuclear-Nuclear,76.27723437908148,1.0392674923939391
200,0,4,Nuclear-Nuclear,77.27723437908148,1.0392674923939391
200,0,4,Pooled-Nuclear-Nuclear,103.5689630341342,1.0392674923939391
200,0,5,naive-Nuclear,32.79097276561943,0.0008439020974868
200,0,5,A-Nuclear-Nuclear,42.850335683852975,0.6760715920780703
200,0,5,Nuclear-Nuclear,43.850335683852975,0.6760715920780703
200,0,5,Pooled-Nuclear-Nuclear,50.08592512176858,0.6760715920780703
200,0,6,naive-Nuclear,45.73733461343602,0.0007933713010431
200,0,6,A-Nuclear-Nuclear,51.842183499884285,0.8070066831450242
200,0,6,Nuclear-Nuclear,52.842183499884285,0.8070066831450242
200,0,6,Pooled-Nuclear-Nuclear,64.47288162741864,0.8070066831450242
200,0,7,naive-Nuclear,65.19165954524684,0.0010783791833002
200,0,7,A-Nuclear-Nuclear,65.3297231211406,1.0170088342249008
200,0,7,Nuclear-Nuclear,66.3297231211406,1.0170088342249008
200,0,7,Pooled-Nuclear-Nuclear,86.0529450214288,1.0170088342249008
200,0,8,naive-Nuclear,49.07841671614419,0.0010635380511419
200,0,8,A-Nuclear-Nuclear,54.54087301883827,0.926306757788376
200,0,8,Nuclear-Nuclear,55.54087301883827,0.926306757788376
200,0,8,Pooled-Nuclear-Nuclear,68.79078485774505,0.926306757788376
200,0,9,naive-Nuclear,95.97048428608976,0.0012264380798691
200,0,9,A-Nuclear-Nuclear,85.79904642054362,1.1203391105408478
200,0,9,Nuclear-Nuclear,86.79904642054362,1.1203391105408478
200,0,9,Pooled-Nuclear-Nuclear,118.8038623004736,1.1203391105408478
200,0,10,naive-Nuclear,65.65345468042162,0.0015901079187906
200,0,10,A-Nuclear-Nuclear,64.28589687328164,1.1070813327024034
200,0,10,Nuclear-Nuclear,65.28589687328162,1.1070813327024034
200,0,10,Pooled-Nuclear-Nuclear,84.38282302485442,1.1070813327024034
200,0,11,naive-Nuclear,41.49503544914114,0.0008808608816639
200,0,11,A-Nuclear-Nuclear,48.79191674298946,0.7505049366313382
200,0,11,Nuclear-Nuclear,49.79191674298946,0.7505049366313382
200,0,11,Pooled-Nuclear-Nuclear,59.59245481638692,0.7505049366313382
200,0,12,naive-Nuclear,70.61947298071587,0.001354863453513
200,0,12,A-Nuclear-Nuclear,68.92706732859334,1.059262082476544
200,0,12,Nuclear-Nuclear,69.92706732859334,1.059262082476544
