h,K,repeat,method,err,score
200,0,1,naive-Nuclear,63.44822976419603,1.0
200,0,1,A-Nuclear-Nuclear,64.66804812471611,0.92
200,0,1,Nuclear-Nuclear,65.5788808498811,0.935
200,0,1,Pooled-Nuclear-Nuclear,72.71851989735067,0.92
200,0,2,naive-Nuclear,72.30123400137815,1.0
200,0,2,A-Nuclear-Nuclear,74.01353434133699,0.915
200,0,2,Nuclear-Nuclear,74.95524036880255,0.915
200,0,2,Pooled-Nuclear-Nuclear,83.93310335729574,0.915
200,0,3,naive-Nuclear,57.716277631431126,0.995
200,0,3,A-Nuclear-Nuclear,55.09577931467269,0.48
200,0,3,Nuclear-Nuclear,56.07113425273053,0.795
200,0,3,Pooled-Nuclear-Nuclear,61.23179732529857,0.48
200,0,4,naive-Nuclear,71.70018013688791,0.995
200,0,4,A-Nuclear-Nuclear,73.96562649243015,0.86
200,0,4,Nuclear-Nuclear,74.9073325198957,0.86
200,0,4,Pooled-Nuclear-Nuclear,83.87561393860753,0.86
200,0,5,naive-Nuclear,58.66904641078361,1.0
200,0,5,A-Nuclear-Nuclear,55.58746991563285,0.89
200,0,5,Nuclear-Nuclear,56.90930850581796,0.95
200,0,5,Pooled-Nuclear-Nuclear,61.82182604645077,0.89
200,0,6,naive-Nuclear,73.59423340149375,1.0
200,0,6,A-Nuclear-Nuclear,75.80366248356074,0.89
200,0,6,Nuclear-Nuclear,76.7453685110263,0.89
200,0,6,Pooled-Nuclear-Nuclear,86.08125712796424,0.89
200,0,7,naive-Nuclear,58.56784588301923,1.0
200,0,7,A-Nuclear-Nuclear,56.1913622690827,0.88
200,0,7,Nuclear-Nuclear,57.03357777693108,0.91
200,0,7,Pooled-Nuclear-Nuclear,62.54649687059059,0.88
200,0,8,naive-Nuclear,84.04616967666117,1.0
200,0,8,A-Nuclear-Nuclear,89.36771522967393,0.865
200,0,8,Nuclear-Nuclear,90.30942125713948,0.865
200,0,8,Pooled-Nuclear-Nuclear,102.35812042330006,0.865
200,0,9,naive-Nuclear,77.11648309921806,1.0
200,0,9,A-Nuclear-Nuclear,79.51390238499405,0.93
200,0,9,Nuclear-Nuclear,80.45560841245961,0.93
200,0,9,Pooled-Nuclear-Nuclear,90.53354500968422,0.93
200,0,10,naive-Nuclear,67.99087583270368,1.0
200,0,10,A-Nuclear-Nuclear,68.19614674932328,0.91
200,0,10,Nuclear-Nuclear,69.13785277678883,0.91
200,0,10,Pooled-Nuclear-Nuclear,76.95223824687928,0.91
200,0,11,naive-Nuclear,79.83922281759145,1.0
200,0,11,A-Nuclear-Nuclear,84.49702678699661,0.86
200,0,11,Nuclear-Nuclear,84.93408109632503,0.955
200,0,11,Pooled-Nuclear-Nuclear,96.51329429208728,0.86
200,0,12,naive-Nuclear,62.03353450825092,1.0
200,0,12,A-Nuclear-Nuclear,60.73698349628043,0.865
200,0,12,Nuclear-Nuclear,61.67868952374599,0.865
200,0,12,Pooled-Nuclear-Nuclear,68.00124234322789,0.865
200,0,13,naive-Nuclear,71.72407203891233,0.99
200,0,13,A-Nuclear-Nuclear,72.71253464650107,0.93
200,0,13,Nuclear-Nuclear,73.65424067396663,0.93
200,0,13,Pooled-Nuclear-Nuclear,82.37190372349264,0.93
200,0,14,naive-Nuclear,80.06829147462945,1.0
200,0,14,A-Nuclear-Nuclear,84.04452777835735,0.885
200,0,14,Nuclear-Nuclear,84.9862338058229,0.885
200,0,14,Pooled-Nuclear-Nuclear,95.97029548172016,0.885
200,0,15,naive-Nuclear,66.81423262213737,0.995
200,0,15,A-Nuclear-Nuclear,65.55291423369052,0.86
200,0,15,Nuclear-Nuclear,66.49462026115606,0.86
200,0,15,Pooled-Nuclear-Nuclear,73.78035922811996,0.86
200,0,16,naive-Nuclear,56.31516080049664,0.995
200,0,16,A-Nuclear-Nuclear,53.92713037924572,0.925
200,0,16,Nuclear-Nuclear,54.86883640671127,0.925
200,0,16,Pooled-Nuclear-Nuclear,59.829418602786205,0.925
200,0,17,naive-Nuclear,77.9983980613877,1.0
200,0,17,A-Nuclear-Nuclear,85.81144962983265,0.88
200,0,17,Nuclear-Nuclear,85.96857912311637,0.835
200,0,17,Pooled-Nuclear-Nuclear,98.09060170349052,0.88
200,0,18,naive-Nuclear,53.62243389802461,1.0
200,0,18,A-Nuclear-Nuclear,49.85829506653329,0.865
200,0,18,Nuclear-Nuclear,50.80000109399885,0.865
200,0,18,Pooled-Nuclear-Nuclear,54.94681622753129,0.865
200,0,19,naive-Nuclear,68.28068398329638,1.0
200,0,19,A-Nuclear-Nuclear,69.38163044461201,0.87
200,0,19,Nuclear-Nuclear,71.29836869179772,0.86
200,0,19,Pooled-Nuclear-Nuclear,78.37481868122576,0.87
200,0,20,naive-Nuclear,59.42743018945137,1.0
200,0,20,A-Nuclear-Nuclear,55.91779790338198,0.875
200,0,20,Nuclear-Nuclear,56.9022272448309,0.965
200,0,20,Pooled-Nuclear-Nuclear,62.21821963174975,0.875
200,0,21,naive-Nuclear,65.0355223073518,1.0
200,0,21,A-Nuclear-Nuclear,63.385659615777136,0.95
200,0,21,Nuclear-Nuclear,63.6625001816483,0.96
200,0,21,Pooled-Nuclear-Nuclear,71.17965368662391,0.95
200,0,22,naive-Nuclear,77.26620316039161,1.0
200,0,22,A-Nuclear-Nuclear,81.94591816813926,0.825
200,0,22,Nuclear-Nuclear,82.8876241956048,0.825
200,0,22,Pooled-Nuclear-Nuclear,93.45196394945845,0.825
200,0,23,naive-Nuclear,78.76118411425638,1.0
200,0,23,A-Nuclear-Nuclear,81.23966900860277,0.915
200,0,23,Nuclear-Nuclear,82.18137503606832,0.915
200,0,23,Pooled-Nuclear-Nuclear,92.60446495801467,0.915
200,0,24,naive-Nuclear,61.26622728913465,1.0
200,0,24,A-Nuclear-Nuclear,58.593788957915855,0.905
200,0,24,Nuclear-Nuclear,59.88758217969863,0.955
200,0,24,Pooled-Nuclear-Nuclear,65.42940889719037,0.905
200,0,25,naive-Nuclear,63.862093208016674,1.0
200,0,25,A-Nuclear-Nuclear,65.22525869367968,0.85
200,0,25,Nuclear-Nuclear,66.59414058378843,0.905
200,0,25,Pooled-Nuclear-Nuclear,73.38717258010695,0.85
200,0,26,naive-Nuclear,65.95247685592174,0.99
200,0,26,A-Nuclear-Nuclear,66.06266643380525,0.855
200,0,26,Nuclear-Nuclear,67.78545471948216,0.89
200,0,26,Pooled-Nuclear-Nuclear,74.39206186825764,0.855
200,0,27,naive-Nuclear,60.53617016695999,1.0
200,0,27,A-Nuclear-Nuclear,56.69997473584778,0.955
200,0,27,Nuclear-Nuclear,57.72058141944109,0.95
200,0,27,Pooled-Nuclear-Nuclear,63.15683183070868,0.955
200,0,28,naive-Nuclear,55.43320370800713,1.0
200,0,28,A-Nuclear-Nuclear,53.95718411688946,0.88
200,0,28,Nuclear-Nuclear,54.89889014435501,0.88
200,0,28,Pooled-Nuclear-Nuclear,59.86548308795869,0.88
200,0,29,naive-Nuclear,68.83555643456002,0.995
200,0,29,A-Nuclear-Nuclear,69.7739965040511,0.865
200,0,29,Nuclear-Nuclear,70.36101166897797,0.92
200,0,29,Pooled-Nuclear-Nuclear,78.84565795255267,0.865
200,0,30,naive-Nuclear,60.852537822978775,1.0
200,0,30,A-Nuclear-Nuclear,56.537715402482,0.935
200,0,30,Nuclear-Nuclear,58.34477171012746,0.905
200,0,30,Pooled-Nuclear-Nuclear,62.96212063066975,0.935
200,0,31,naive-Nuclear,53.483611375282265,1.0
200,0,31,A-Nuclear-Nuclear,48.890220399470834,0.89
200,0,31,Nuclear-Nuclear,50.00352722624744,0.95
200,0,31,Pooled-Nuclear-Nuclear,53.78512662705635,0.89
200,0,32,naive-Nuclear,57.63679214253705,1.0
200,0,32,A-Nuclear-Nuclear,53.95535608505184,0.86
200,0,32,Nuclear-Nuclear,54.89706211251739,0.86
